data,hora,taxa
2023/05/08,18:44:33,13.421535034123718
2023/05/08,18:44:35,14.088731216813356
2023/05/08,18:44:37,13.62378774874813
2023/05/08,18:44:39,13.533183376410307
2023/05/08,18:44:42,13.215378313424242
2023/05/08,18:44:43,13.933759843418672
2023/05/08,18:44:45,13.303433634155201
2023/05/08,18:44:47,13.278520678699026
2023/05/08,18:44:49,13.761414285549154
2023/05/08,18:44:52,13.405702505205877
2023/05/08,18:52:35,13.662235357833294
2023/05/08,18:52:38,13.432006017083683
2023/05/08,18:52:40,13.917559915906791
2023/05/08,18:52:42,13.639696210664624
2023/05/08,18:52:44,13.154314833592595
2023/05/08,18:52:46,13.569839445644154
2023/05/08,18:52:49,14.101489295120476
2023/05/08,18:52:51,13.2445547574803
2023/05/08,18:52:53,13.402405699273292
2023/05/08,18:52:56,13.906487018631896
2023/05/19,11:24:14,13.204381928224773
2023/05/19,11:24:18,13.710994700005553
2023/05/19,11:24:21,13.346581962418382
2023/05/19,11:24:24,13.614002986447106
2023/05/19,11:24:26,14.07553142573831
2023/05/19,11:24:29,13.222779238265852
2023/05/19,11:24:32,14.05010779391527
2023/05/19,11:24:35,13.91376591477257
2023/05/19,11:24:38,13.315231445306877
2023/05/19,11:24:41,13.565956968072754
2023/05/19,11:45:55,13.912617474046044
2023/05/19,11:45:58,14.04891663513924
2023/05/19,11:46:02,13.784168345188581
2023/05/19,11:46:04,13.618690014955554
2023/05/19,11:46:06,13.238516300435764
2023/05/19,11:46:09,13.485535939573342
2023/05/19,11:46:11,14.082388344809495
2023/05/19,11:46:14,13.368480668106448
2023/05/19,11:46:17,13.177032067556945
2023/05/19,11:46:19,13.548847058980252
2023/07/28,14:52:06,13.267020057444842
2023/07/28,14:52:07,13.656883493071005
2023/07/28,14:52:09,13.44424187223612
2023/07/28,14:52:11,13.462442957618473
2023/07/28,14:52:13,13.30096759812705
2023/07/28,14:52:16,13.407059574895712
2023/07/28,14:52:18,13.82162554628382
2023/07/28,14:52:19,13.746566916724387
2023/07/28,14:52:21,13.218842923550309
2023/07/28,14:52:24,13.608677179509497
2023/07/28,14:53:11,13.842349606731881
2023/07/28,14:53:13,13.631285134891915
2023/07/28,14:53:16,13.40716535506498
2023/07/28,14:53:18,13.572188652098339
2023/07/28,14:53:20,13.43940466516398
2023/07/28,14:53:22,13.453655540376621
2023/07/28,14:53:24,13.457422425935949
2023/07/28,14:53:27,13.851513280122205
2023/07/28,14:53:29,13.975340468330158
2023/07/28,14:53:31,13.624114175828726
2023/07/28,15:03:27,13.776898076665361
2023/07/28,15:03:30,13.583038508653614
2023/07/28,15:03:32,14.033916852096532
2023/07/28,15:03:34,13.882542637705471
2023/07/28,15:03:36,13.717365130932611
2023/07/28,15:03:38,14.055251364606773
2023/07/28,15:03:41,13.331182156303008
2023/07/28,15:03:43,13.911665818297578
2023/07/28,15:03:45,13.18988924029975
2023/07/28,15:03:47,13.80104165511604
2023/07/28,15:12:59,13.645803886104808
2023/07/28,15:13:01,13.527488160013506
2023/07/28,15:13:04,13.326279679300308
2023/07/28,15:13:05,13.408634653002334
2023/07/28,15:13:08,13.41252770247418
2023/07/28,15:13:10,13.267592752120692
2023/07/28,15:13:12,13.341857909022234
2023/07/28,15:13:14,13.36935039265821
2023/07/28,15:13:17,13.606494335304602
2023/07/28,15:13:19,13.619181462318453
2023/07/28,15:37:19,13.37082981672086
2023/07/28,15:37:21,13.801118269541181
2023/07/28,15:37:24,13.64355757716851
2023/07/28,15:37:25,13.329397030366803
2023/07/28,15:37:28,13.346681004942779
2023/07/28,15:37:30,13.553028871708804
2023/07/28,15:37:32,13.998756963820268
2023/07/28,15:37:35,13.530227977942731
2023/07/28,15:37:36,14.139998321243969
2023/07/28,15:37:38,13.251694145193206
2023/07/28,15:38:04,13.274159451149364
2023/07/28,15:38:07,13.850935813606995
2023/07/28,15:38:09,13.71613541277394
2023/07/28,15:38:11,14.077100862375483
2023/07/28,15:38:13,13.824576154502559
2023/07/28,15:38:16,13.442215355560535
2023/07/28,15:38:18,13.76376351533293
2023/07/28,15:38:20,13.823149632047851
2023/07/28,15:38:23,13.733767096617612
2023/07/28,15:38:25,13.389204715114253
2023/07/28,15:49:58,13.210852851881043
2023/07/28,15:50:00,13.499600665454883
2023/07/28,15:50:03,13.223124439201976
2023/07/28,15:50:05,13.89399709603481
2023/07/28,15:50:07,13.704389655291681
2023/07/28,15:50:09,13.959396674749877
2023/07/28,15:50:12,14.091392933614266
2023/07/28,15:50:14,13.170884026735276
2023/07/28,15:50:16,13.312866629284214
2023/07/28,15:50:18,13.959615727456297
